zipcode,zone,trange,zonetitle
10126,7b,5 to 10,7b: 5 to 10
10128,7b,5 to 10,7b: 5 to 10
10129,7b,5 to 10,7b: 5 to 10
10130,7b,5 to 10,7b: 5 to 10
10131,7b,5 to 10,7b: 5 to 10
10132,7b,5 to 10,7b: 5 to 10
10133,7b,5 to 10,7b: 5 to 10
10138,7b,5 to 10,7b: 5 to 10
10150,7b,5 to 10,7b: 5 to 10
10151,7b,5 to 10,7b: 5 to 10
10152,7b,5 to 10,7b: 5 to 10
10153,7b,5 to 10,7b: 5 to 10
10154,7b,5 to 10,7b: 5 to 10
10155,7b,5 to 10,7b: 5 to 10
10156,7b,5 to 10,7b: 5 to 10
10157,7b,5 to 10,7b: 5 to 10
10158,7b,5 to 10,7b: 5 to 10
10159,7b,5 to 10,7b: 5 to 10
10160,7b,5 to 10,7b: 5 to 10
10162,7b,5 to 10,7b: 5 to 10
10163,7b,5 to 10,7b: 5 to 10
10164,7b,5 to 10,7b: 5 to 10
10165,7b,5 to 10,7b: 5 to 10
10166,7b,5 to 10,7b: 5 to 10
10167,7b,5 to 10,7b: 5 to 10
10168,7b,5 to 10,7b: 5 to 10
10169,7b,5 to 10,7b: 5 to 10
10170,7b,5 to 10,7b: 5 to 10
10171,7b,5 to 10,7b: 5 to 10
10172,7b,5 to 10,7b: 5 to 10
10173,7b,5 to 10,7b: 5 to 10
10174,7b,5 to 10,7b: 5 to 10
10175,7b,5 to 10,7b: 5 to 10
10176,7b,5 to 10,7b: 5 to 10
10177,7b,5 to 10,7b: 5 to 10
10178,7b,5 to 10,7b: 5 to 10
10179,7b,5 to 10,7b: 5 to 10
10185,7b,5 to 10,7b: 5 to 10
10199,7b,5 to 10,7b: 5 to 10
10203,7b,5 to 10,7b: 5 to 10
10211,7b,5 to 10,7b: 5 to 10
10212,7b,5 to 10,7b: 5 to 10
10213,7b,5 to 10,7b: 5 to 10
10242,7b,5 to 10,7b: 5 to 10
10249,7b,5 to 10,7b: 5 to 10
10256,7b,5 to 10,7b: 5 to 10
10258,7b,5 to 10,7b: 5 to 10
10259,7b,5 to 10,7b: 5 to 10
10260,7b,5 to 10,7b: 5 to 10
10261,7b,5 to 10,7b: 5 to 10
10265,7b,5 to 10,7b: 5 to 10
10268,7b,5 to 10,7b: 5 to 10
10269,7b,5 to 10,7b: 5 to 10
10270,7b,5 to 10,7b: 5 to 10
10271,7b,5 to 10,7b: 5 to 10
10272,7b,5 to 10,7b: 5 to 10
10273,7b,5 to 10,7b: 5 to 10
10274,7b,5 to 10,7b: 5 to 10
10275,7b,5 to 10,7b: 5 to 10
10276,7b,5 to 10,7b: 5 to 10
10277,7b,5 to 10,7b: 5 to 10
10278,7b,5 to 10,7b: 5 to 10
10279,7b,5 to 10,7b: 5 to 10
10280,7b,5 to 10,7b: 5 to 10
10281,7b,5 to 10,7b: 5 to 10
10282,7b,5 to 10,7b: 5 to 10
10285,7b,5 to 10,7b: 5 to 10
10286,7b,5 to 10,7b: 5 to 10
10301,7a,0 to 5,7a: 0 to 5
10302,7b,5 to 10,7b: 5 to 10
10303,7b,5 to 10,7b: 5 to 10
10304,7b,5 to 10,7b: 5 to 10
10305,7b,5 to 10,7b: 5 to 10
10306,7b,5 to 10,7b: 5 to 10
10307,7a,0 to 5,7a: 0 to 5
10308,7b,5 to 10,7b: 5 to 10
10309,7a,0 to 5,7a: 0 to 5
10310,7b,5 to 10,7b: 5 to 10
10311,7a,0 to 5,7a: 0 to 5
10312,7a,0 to 5,7a: 0 to 5
10313,7a,0 to 5,7a: 0 to 5
10314,7a,0 to 5,7a: 0 to 5
10451,7b,5 to 10,7b: 5 to 10
10452,7b,5 to 10,7b: 5 to 10
10453,7a,0 to 5,7a: 0 to 5
10454,7b,5 to 10,7b: 5 to 10
10455,7b,5 to 10,7b: 5 to 10
10456,7b,5 to 10,7b: 5 to 10
10457,7a,0 to 5,7a: 0 to 5
10458,7a,0 to 5,7a: 0 to 5
10459,7b,5 to 10,7b: 5 to 10
10460,7a,0 to 5,7a: 0 to 5
10461,7b,5 to 10,7b: 5 to 10
10462,7b,5 to 10,7b: 5 to 10
10463,7a,0 to 5,7a: 0 to 5
10464,7b,5 to 10,7b: 5 to 10
10465,7b,5 to 10,7b: 5 to 10
10466,7a,0 to 5,7a: 0 to 5
10467,7a,0 to 5,7a: 0 to 5
10468,7a,0 to 5,7a: 0 to 5
10469,7a,0 to 5,7a: 0 to 5
10470,7a,0 to 5,7a: 0 to 5
10471,7a,0 to 5,7a: 0 to 5
10472,7b,5 to 10,7b: 5 to 10
10473,7b,5 to 10,7b: 5 to 10
10474,7b,5 to 10,7b: 5 to 10
10475,7a,0 to 5,7a: 0 to 5
10501,6b,-5 to 0,6b: -5 to 0
10502,7a,0 to 5,7a: 0 to 5
10503,7a,0 to 5,7a: 0 to 5
10504,7a,0 to 5,7a: 0 to 5
10505,6b,-5 to 0,6b: -5 to 0
10506,6b,-5 to 0,6b: -5 to 0
10507,6b,-5 to 0,6b: -5 to 0
10509,6a,-10 to -5,6a: -10 to -5
10510,7a,0 to 5,7a: 0 to 5
10511,6b,-5 to 0,6b: -5 to 0
10512,6a,-10 to -5,6a: -10 to -5
10514,6b,-5 to 0,6b: -5 to 0
10516,6b,-5 to 0,6b: -5 to 0
10517,6b,-5 to 0,6b: -5 to 0
10518,6b,-5 to 0,6b: -5 to 0
10519,6b,-5 to 0,6b: -5 to 0
10520,6b,-5 to 0,6b: -5 to 0
10521,6b,-5 to 0,6b: -5 to 0
10522,7a,0 to 5,7a: 0 to 5
10523,7a,0 to 5,7a: 0 to 5
10524,6b,-5 to 0,6b: -5 to 0
10526,6b,-5 to 0,6b: -5 to 0
10527,6b,-5 to 0,6b: -5 to 0
10528,7a,0 to 5,7a: 0 to 5
10530,7a,0 to 5,7a: 0 to 5
10532,7a,0 to 5,7a: 0 to 5
10533,7a,0 to 5,7a: 0 to 5
10535,6b,-5 to 0,6b: -5 to 0
10536,6b,-5 to 0,6b: -5 to 0
10537,6b,-5 to 0,6b: -5 to 0
10538,7a,0 to 5,7a: 0 to 5
10540,6b,-5 to 0,6b: -5 to 0
10541,6a,-10 to -5,6a: -10 to -5
10542,6a,-10 to -5,6a: -10 to -5
10543,7a,0 to 5,7a: 0 to 5
10545,6b,-5 to 0,6b: -5 to 0
10546,6b,-5 to 0,6b: -5 to 0
10547,6b,-5 to 0,6b: -5 to 0
10548,6b,-5 to 0,6b: -5 to 0
10549,6b,-5 to 0,6b: -5 to 0
10550,7a,0 to 5,7a: 0 to 5
10551,7a,0 to 5,7a: 0 to 5
10552,7a,0 to 5,7a: 0 to 5
10553,7a,0 to 5,7a: 0 to 5
10560,6b,-5 to 0,6b: -5 to 0
10562,6b,-5 to 0,6b: -5 to 0
10566,6b,-5 to 0,6b: -5 to 0
10567,6b,-5 to 0,6b: -5 to 0
10570,7a,0 to 5,7a: 0 to 5
10573,7a,0 to 5,7a: 0 to 5
10576,6b,-5 to 0,6b: -5 to 0
10577,7a,0 to 5,7a: 0 to 5
10578,6b,-5 to 0,6b: -5 to 0
10579,6a,-10 to -5,6a: -10 to -5
10580,7a,0 to 5,7a: 0 to 5
10583,7a,0 to 5,7a: 0 to 5
10587,6b,-5 to 0,6b: -5 to 0
10588,6b,-5 to 0,6b: -5 to 0
10589,6b,-5 to 0,6b: -5 to 0
10590,6b,-5 to 0,6b: -5 to 0
10591,7a,0 to 5,7a: 0 to 5
10594,7a,0 to 5,7a: 0 to 5
10595,7a,0 to 5,7a: 0 to 5
10596,6b,-5 to 0,6b: -5 to 0
10597,6b,-5 to 0,6b: -5 to 0
10598,6b,-5 to 0,6b: -5 to 0
10601,7a,0 to 5,7a: 0 to 5
10602,7a,0 to 5,7a: 0 to 5
10603,7a,0 to 5,7a: 0 to 5
10604,7a,0 to 5,7a: 0 to 5
10605,7a,0 to 5,7a: 0 to 5
10606,7a,0 to 5,7a: 0 to 5
10607,7a,0 to 5,7a: 0 to 5
10610,7a,0 to 5,7a: 0 to 5
10701,7a,0 to 5,7a: 0 to 5
10702,7a,0 to 5,7a: 0 to 5
10703,7a,0 to 5,7a: 0 to 5
10704,7a,0 to 5,7a: 0 to 5
10705,7a,0 to 5,7a: 0 to 5
10706,7a,0 to 5,7a: 0 to 5
10707,7a,0 to 5,7a: 0 to 5
10708,7a,0 to 5,7a: 0 to 5
10709,7a,0 to 5,7a: 0 to 5
10710,7a,0 to 5,7a: 0 to 5
10801,7a,0 to 5,7a: 0 to 5
10802,7a,0 to 5,7a: 0 to 5
10803,7a,0 to 5,7a: 0 to 5
10804,7a,0 to 5,7a: 0 to 5
10805,7a,0 to 5,7a: 0 to 5
10901,6b,-5 to 0,6b: -5 to 0
10910,6b,-5 to 0,6b: -5 to 0
10911,6b,-5 to 0,6b: -5 to 0
10912,6a,-10 to -5,6a: -10 to -5
10913,7a,0 to 5,7a: 0 to 5
10914,6a,-10 to -5,6a: -10 to -5
10915,6a,-10 to -5,6a: -10 to -5
10916,6a,-10 to -5,6a: -10 to -5
10917,6b,-5 to 0,6b: -5 to 0
10918,6a,-10 to -5,6a: -10 to -5
10919,6a,-10 to -5,6a: -10 to -5
10920,7a,0 to 5,7a: 0 to 5
10921,6a,-10 to -5,6a: -10 to -5
10922,6b,-5 to 0,6b: -5 to 0
10923,6b,-5 to 0,6b: -5 to 0
10924,6a,-10 to -5,6a: -10 to -5
10925,6a,-10 to -5,6a: -10 to -5
10926,6a,-10 to -5,6a: -10 to -5
10927,6b,-5 to 0,6b: -5 to 0
10928,6b,-5 to 0,6b: -5 to 0
10930,6b,-5 to 0,6b: -5 to 0
10931,6b,-5 to 0,6b: -5 to 0
10932,6a,-10 to -5,6a: -10 to -5
10933,6a,-10 to -5,6a: -10 to -5
10940,6b,-5 to 0,6b: -5 to 0
10941,6a,-10 to -5,6a: -10 to -5
10949,6a,-10 to -5,6a: -10 to -5
10950,6a,-10 to -5,6a: -10 to -5
10952,6b,-5 to 0,6b: -5 to 0
10953,6b,-5 to 0,6b: -5 to 0
10954,7a,0 to 5,7a: 0 to 5
10956,7a,0 to 5,7a: 0 to 5
10958,6b,-5 to 0,6b: -5 to 0
10959,6a,-10 to -5,6a: -10 to -5
10960,7a,0 to 5,7a: 0 to 5
10962,7a,0 to 5,7a: 0 to 5
10963,6a,-10 to -5,6a: -10 to -5
10964,7a,0 to 5,7a: 0 to 5
10965,7a,0 to 5,7a: 0 to 5
10968,7a,0 to 5,7a: 0 to 5
10969,6a,-10 to -5,6a: -10 to -5
10970,6b,-5 to 0,6b: -5 to 0
10973,6a,-10 to -5,6a: -10 to -5
10974,6b,-5 to 0,6b: -5 to 0
10975,6b,-5 to 0,6b: -5 to 0
10976,7a,0 to 5,7a: 0 to 5
10977,6b,-5 to 0,6b: -5 to 0
10979,6b,-5 to 0,6b: -5 to 0
10980,6b,-5 to 0,6b: -5 to 0
10981,6a,-10 to -5,6a: -10 to -5
10982,6b,-5 to 0,6b: -5 to 0
10983,7a,0 to 5,7a: 0 to 5
10984,6b,-5 to 0,6b: -5 to 0
10985,6a,-10 to -5,6a: -10 to -5
10986,6b,-5 to 0,6b: -5 to 0
10987,6b,-5 to 0,6b: -5 to 0
10988,6a,-10 to -5,6a: -10 to -5
10989,7a,0 to 5,7a: 0 to 5
10990,6a,-10 to -5,6a: -10 to -5
10992,6a,-10 to -5,6a: -10 to -5
10993,6b,-5 to 0,6b: -5 to 0
10994,7a,0 to 5,7a: 0 to 5
10996,6b,-5 to 0,6b: -5 to 0
10997,6b,-5 to 0,6b: -5 to 0
10998,6a,-10 to -5,6a: -10 to -5
11001,7b,5 to 10,7b: 5 to 10
11002,7b,5 to 10,7b: 5 to 10
11003,7b,5 to 10,7b: 5 to 10
11004,7b,5 to 10,7b: 5 to 10
11005,7a,0 to 5,7a: 0 to 5
11010,7b,5 to 10,7b: 5 to 10
11020,7b,5 to 10,7b: 5 to 10
11021,7b,5 to 10,7b: 5 to 10
11022,7b,5 to 10,7b: 5 to 10
11023,7b,5 to 10,7b: 5 to 10
11024,7b,5 to 10,7b: 5 to 10
11026,7b,5 to 10,7b: 5 to 10
11027,7b,5 to 10,7b: 5 to 10
11030,7a,0 to 5,7a: 0 to 5
11040,7b,5 to 10,7b: 5 to 10
11042,7b,5 to 10,7b: 5 to 10
11050,7b,5 to 10,7b: 5 to 10
11051,7b,5 to 10,7b: 5 to 10
11052,7b,5 to 10,7b: 5 to 10
11053,7b,5 to 10,7b: 5 to 10
11054,7b,5 to 10,7b: 5 to 10
11055,7b,5 to 10,7b: 5 to 10
11096,7b,5 to 10,7b: 5 to 10
11101,7b,5 to 10,7b: 5 to 10
11102,7b,5 to 10,7b: 5 to 10
11103,7b,5 to 10,7b: 5 to 10
11104,7b,5 to 10,7b: 5 to 10
11105,7b,5 to 10,7b: 5 to 10
11106,7b,5 to 10,7b: 5 to 10
11109,7b,5 to 10,7b: 5 to 10
11120,7b,5 to 10,7b: 5 to 10
11201,7b,5 to 10,7b: 5 to 10
11202,7b,5 to 10,7b: 5 to 10
11203,7b,5 to 10,7b: 5 to 10
11204,7b,5 to 10,7b: 5 to 10
11205,7b,5 to 10,7b: 5 to 10
11206,7b,5 to 10,7b: 5 to 10
11207,7b,5 to 10,7b: 5 to 10
11208,7b,5 to 10,7b: 5 to 10
11209,7b,5 to 10,7b: 5 to 10
11210,7b,5 to 10,7b: 5 to 10
11211,7b,5 to 10,7b: 5 to 10
11212,7b,5 to 10,7b: 5 to 10
11213,7b,5 to 10,7b: 5 to 10
11214,7b,5 to 10,7b: 5 to 10
11215,7b,5 to 10,7b: 5 to 10
11216,7b,5 to 10,7b: 5 to 10
11217,7b,5 to 10,7b: 5 to 10
11218,7b,5 to 10,7b: 5 to 10
11219,7b,5 to 10,7b: 5 to 10
11220,7b,5 to 10,7b: 5 to 10
11221,7b,5 to 10,7b: 5 to 10
11222,7b,5 to 10,7b: 5 to 10
11223,7b,5 to 10,7b: 5 to 10
11224,7b,5 to 10,7b: 5 to 10
11225,7b,5 to 10,7b: 5 to 10
11226,7b,5 to 10,7b: 5 to 10
11228,7b,5 to 10,7b: 5 to 10
11229,7b,5 to 10,7b: 5 to 10
11230,7b,5 to 10,7b: 5 to 10
11231,7b,5 to 10,7b: 5 to 10
11232,7b,5 to 10,7b: 5 to 10
11233,7b,5 to 10,7b: 5 to 10
11234,7b,5 to 10,7b: 5 to 10
11235,7b,5 to 10,7b: 5 to 10
11236,7b,5 to 10,7b: 5 to 10
11237,7b,5 to 10,7b: 5 to 10
11238,7b,5 to 10,7b: 5 to 10
11239,7b,5 to 10,7b: 5 to 10
11241,7b,5 to 10,7b: 5 to 10
11242,7b,5 to 10,7b: 5 to 10
11243,7b,5 to 10,7b: 5 to 10
11245,7b,5 to 10,7b: 5 to 10
11247,7b,5 to 10,7b: 5 to 10
11249,7b,5 to 10,7b: 5 to 10
11251,7b,5 to 10,7b: 5 to 10
11252,7b,5 to 10,7b: 5 to 10
11256,7b,5 to 10,7b: 5 to 10
11351,7b,5 to 10,7b: 5 to 10
11352,7b,5 to 10,7b: 5 to 10
11354,7b,5 to 10,7b: 5 to 10
11355,7b,5 to 10,7b: 5 to 10
11356,7b,5 to 10,7b: 5 to 10
11357,7b,5 to 10,7b: 5 to 10
11358,7b,5 to 10,7b: 5 to 10
11359,7b,5 to 10,7b: 5 to 10
11360,7b,5 to 10,7b: 5 to 10
11361,7b,5 to 10,7b: 5 to 10
11362,7b,5 to 10,7b: 5 to 10
11363,7b,5 to 10,7b: 5 to 10
11364,7b,5 to 10,7b: 5 to 10
11365,7b,5 to 10,7b: 5 to 10
11366,7b,5 to 10,7b: 5 to 10
11367,7b,5 to 10,7b: 5 to 10
11368,7b,5 to 10,7b: 5 to 10
11369,7b,5 to 10,7b: 5 to 10
11370,7b,5 to 10,7b: 5 to 10
11371,7b,5 to 10,7b: 5 to 10
11372,7b,5 to 10,7b: 5 to 10
11373,7b,5 to 10,7b: 5 to 10
11374,7b,5 to 10,7b: 5 to 10
11375,7b,5 to 10,7b: 5 to 10
11377,7b,5 to 10,7b: 5 to 10
11378,7b,5 to 10,7b: 5 to 10
11379,7b,5 to 10,7b: 5 to 10
11380,7b,5 to 10,7b: 5 to 10
11381,7b,5 to 10,7b: 5 to 10
11385,7b,5 to 10,7b: 5 to 10
11386,7b,5 to 10,7b: 5 to 10
11405,7b,5 to 10,7b: 5 to 10
11411,7b,5 to 10,7b: 5 to 10
11412,7b,5 to 10,7b: 5 to 10
11413,7b,5 to 10,7b: 5 to 10
11414,7b,5 to 10,7b: 5 to 10
11415,7b,5 to 10,7b: 5 to 10
11416,7b,5 to 10,7b: 5 to 10
11417,7b,5 to 10,7b: 5 to 10
11418,7b,5 to 10,7b: 5 to 10
11419,7b,5 to 10,7b: 5 to 10
11420,7b,5 to 10,7b: 5 to 10
11421,7b,5 to 10,7b: 5 to 10
11422,7b,5 to 10,7b: 5 to 10
11423,7b,5 to 10,7b: 5 to 10
11424,7b,5 to 10,7b: 5 to 10
11425,7b,5 to 10,7b: 5 to 10
11426,7b,5 to 10,7b: 5 to 10
11427,7b,5 to 10,7b: 5 to 10
11428,7b,5 to 10,7b: 5 to 10
11429,7b,5 to 10,7b: 5 to 10
11430,7b,5 to 10,7b: 5 to 10
11431,7b,5 to 10,7b: 5 to 10
11432,7b,5 to 10,7b: 5 to 10
11433,7b,5 to 10,7b: 5 to 10
11434,7b,5 to 10,7b: 5 to 10
11435,7b,5 to 10,7b: 5 to 10
11436,7b,5 to 10,7b: 5 to 10
11439,7b,5 to 10,7b: 5 to 10
11451,7b,5 to 10,7b: 5 to 10
11499,7b,5 to 10,7b: 5 to 10
11501,7b,5 to 10,7b: 5 to 10
11507,7a,0 to 5,7a: 0 to 5
11509,7b,5 to 10,7b: 5 to 10
11510,7b,5 to 10,7b: 5 to 10
11514,7a,0 to 5,7a: 0 to 5
11516,7b,5 to 10,7b: 5 to 10
11518,7b,5 to 10,7b: 5 to 10
11520,7b,5 to 10,7b: 5 to 10
11530,7b,5 to 10,7b: 5 to 10
11531,7b,5 to 10,7b: 5 to 10
11542,7a,0 to 5,7a: 0 to 5
11545,7a,0 to 5,7a: 0 to 5
11547,7b,5 to 10,7b: 5 to 10
11548,7a,0 to 5,7a: 0 to 5
11549,7b,5 to 10,7b: 5 to 10
11550,7b,5 to 10,7b: 5 to 10
11551,7b,5 to 10,7b: 5 to 10
11552,7b,5 to 10,7b: 5 to 10
11553,7b,5 to 10,7b: 5 to 10
11554,7b,5 to 10,7b: 5 to 10
11555,7b,5 to 10,7b: 5 to 10
11556,7a,0 to 5,7a: 0 to 5
11557,7b,5 to 10,7b: 5 to 10
11558,7b,5 to 10,7b: 5 to 10
11559,7b,5 to 10,7b: 5 to 10
11560,7a,0 to 5,7a: 0 to 5
11561,7b,5 to 10,7b: 5 to 10
11563,7b,5 to 10,7b: 5 to 10
11565,7b,5 to 10,7b: 5 to 10
11566,7b,5 to 10,7b: 5 to 10
11568,7a,0 to 5,7a: 0 to 5
11569,7b,5 to 10,7b: 5 to 10
11570,7b,5 to 10,7b: 5 to 10
11571,7b,5 to 10,7b: 5 to 10
11572,7b,5 to 10,7b: 5 to 10
11575,7b,5 to 10,7b: 5 to 10
11576,7a,0 to 5,7a: 0 to 5
11577,7a,0 to 5,7a: 0 to 5
11579,7b,5 to 10,7b: 5 to 10
11580,7b,5 to 10,7b: 5 to 10
11581,7b,5 to 10,7b: 5 to 10
11582,7b,5 to 10,7b: 5 to 10
11590,7a,0 to 5,7a: 0 to 5
11596,7a,0 to 5,7a: 0 to 5
11598,7b,5 to 10,7b: 5 to 10
11599,7b,5 to 10,7b: 5 to 10
11690,7b,5 to 10,7b: 5 to 10
11691,7b,5 to 10,7b: 5 to 10
11692,7b,5 to 10,7b: 5 to 10
11693,7b,5 to 10,7b: 5 to 10
11694,7b,5 to 10,7b: 5 to 10
11695,7b,5 to 10,7b: 5 to 10
11697,7b,5 to 10,7b: 5 to 10
11701,7b,5 to 10,7b: 5 to 10
11702,7a,0 to 5,7a: 0 to 5
11703,7a,0 to 5,7a: 0 to 5
11704,7a,0 to 5,7a: 0 to 5
11705,7a,0 to 5,7a: 0 to 5
11706,7a,0 to 5,7a: 0 to 5
11707,7a,0 to 5,7a: 0 to 5
11709,7a,0 to 5,7a: 0 to 5
11710,7b,5 to 10,7b: 5 to 10
11713,7a,0 to 5,7a: 0 to 5
11714,7a,0 to 5,7a: 0 to 5
11715,7a,0 to 5,7a: 0 to 5
11716,7a,0 to 5,7a: 0 to 5
11717,7a,0 to 5,7a: 0 to 5
11718,7a,0 to 5,7a: 0 to 5
11719,7a,0 to 5,7a: 0 to 5
11720,7a,0 to 5,7a: 0 to 5
11721,7a,0 to 5,7a: 0 to 5
11722,7a,0 to 5,7a: 0 to 5
11724,7a,0 to 5,7a: 0 to 5
11725,7a,0 to 5,7a: 0 to 5
11726,7b,5 to 10,7b: 5 to 10
11727,7a,0 to 5,7a: 0 to 5
11729,7a,0 to 5,7a: 0 to 5
11730,7a,0 to 5,7a: 0 to 5
11731,7a,0 to 5,7a: 0 to 5
11732,7a,0 to 5,7a: 0 to 5
11733,7a,0 to 5,7a: 0 to 5
11735,7a,0 to 5,7a: 0 to 5
11737,7a,0 to 5,7a: 0 to 5
11738,7a,0 to 5,7a: 0 to 5
11739,7a,0 to 5,7a: 0 to 5
11740,7a,0 to 5,7a: 0 to 5
11741,7a,0 to 5,7a: 0 to 5
11742,7a,0 to 5,7a: 0 to 5
11743,7a,0 to 5,7a: 0 to 5
11746,7a,0 to 5,7a: 0 to 5
11747,7a,0 to 5,7a: 0 to 5
11749,7a,0 to 5,7a: 0 to 5
11751,7a,0 to 5,7a: 0 to 5
11752,7a,0 to 5,7a: 0 to 5
11753,7a,0 to 5,7a: 0 to 5
11754,7a,0 to 5,7a: 0 to 5
11755,7a,0 to 5,7a: 0 to 5
11756,7a,0 to 5,7a: 0 to 5
11757,7a,0 to 5,7a: 0 to 5
11758,7b,5 to 10,7b: 5 to 10
11760,7a,0 to 5,7a: 0 to 5
11762,7b,5 to 10,7b: 5 to 10
11763,7a,0 to 5,7a: 0 to 5
11764,7a,0 to 5,7a: 0 to 5
11765,7a,0 to 5,7a: 0 to 5
11766,7a,0 to 5,7a: 0 to 5
11767,7a,0 to 5,7a: 0 to 5
11768,7a,0 to 5,7a: 0 to 5
11769,7a,0 to 5,7a: 0 to 5
11770,7a,0 to 5,7a: 0 to 5
11771,7a,0 to 5,7a: 0 to 5
11772,7a,0 to 5,7a: 0 to 5
11773,7a,0 to 5,7a: 0 to 5
11775,7a,0 to 5,7a: 0 to 5
11776,7a,0 to 5,7a: 0 to 5
11777,7a,0 to 5,7a: 0 to 5
11778,7a,0 to 5,7a: 0 to 5
11779,7a,0 to 5,7a: 0 to 5
11780,7a,0 to 5,7a: 0 to 5
11782,7a,0 to 5,7a: 0 to 5
11783,7b,5 to 10,7b: 5 to 10
11784,7a,0 to 5,7a: 0 to 5
11786,7a,0 to 5,7a: 0 to 5
11787,7a,0 to 5,7a: 0 to 5
11788,7a,0 to 5,7a: 0 to 5
11789,7a,0 to 5,7a: 0 to 5
11790,7a,0 to 5,7a: 0 to 5
11791,7a,0 to 5,7a: 0 to 5
11792,7a,0 to 5,7a: 0 to 5
11793,7b,5 to 10,7b: 5 to 10
11794,7a,0 to 5,7a: 0 to 5
11795,7a,0 to 5,7a: 0 to 5
11796,7a,0 to 5,7a: 0 to 5
11797,7a,0 to 5,7a: 0 to 5
11798,7a,0 to 5,7a: 0 to 5
11801,7a,0 to 5,7a: 0 to 5
11802,7a,0 to 5,7a: 0 to 5
11803,7a,0 to 5,7a: 0 to 5
11804,7a,0 to 5,7a: 0 to 5
11815,7a,0 to 5,7a: 0 to 5
11853,7a,0 to 5,7a: 0 to 5
11901,7a,0 to 5,7a: 0 to 5
11930,7a,0 to 5,7a: 0 to 5
11931,7a,0 to 5,7a: 0 to 5
11932,7a,0 to 5,7a: 0 to 5
11933,7a,0 to 5,7a: 0 to 5
11934,7a,0 to 5,7a: 0 to 5
11935,7a,0 to 5,7a: 0 to 5
11937,7a,0 to 5,7a: 0 to 5
11939,7a,0 to 5,7a: 0 to 5
11940,7a,0 to 5,7a: 0 to 5
11941,7a,0 to 5,7a: 0 to 5
11942,7a,0 to 5,7a: 0 to 5
11944,7a,0 to 5,7a: 0 to 5
11946,7a,0 to 5,7a: 0 to 5
11947,7a,0 to 5,7a: 0 to 5
11948,7a,0 to 5,7a: 0 to 5
11949,7a,0 to 5,7a: 0 to 5
11950,7a,0 to 5,7a: 0 to 5
11951,7a,0 to 5,7a: 0 to 5
11952,7a,0 to 5,7a: 0 to 5
11953,7a,0 to 5,7a: 0 to 5
11954,7b,5 to 10,7b: 5 to 10
11955,7a,0 to 5,7a: 0 to 5
11956,7a,0 to 5,7a: 0 to 5
11957,7a,0 to 5,7a: 0 to 5
11958,7a,0 to 5,7a: 0 to 5
11959,7a,0 to 5,7a: 0 to 5
11960,7a,0 to 5,7a: 0 to 5
11961,7a,0 to 5,7a: 0 to 5
11962,7a,0 to 5,7a: 0 to 5
11963,7a,0 to 5,7a: 0 to 5
11964,7a,0 to 5,7a: 0 to 5
11965,7a,0 to 5,7a: 0 to 5
11967,7a,0 to 5,7a: 0 to 5
11968,7a,0 to 5,7a: 0 to 5
11969,7a,0 to 5,7a: 0 to 5
11970,7a,0 to 5,7a: 0 to 5
11971,7a,0 to 5,7a: 0 to 5
11972,7a,0 to 5,7a: 0 to 5
11973,7a,0 to 5,7a: 0 to 5
11975,7a,0 to 5,7a: 0 to 5
11976,7a,0 to 5,7a: 0 to 5
11977,7a,0 to 5,7a: 0 to 5
11978,7a,0 to 5,7a: 0 to 5
11980,7a,0 to 5,7a: 0 to 5
12007,5b,-15 to -10,5b: -15 to -10
12008,5b,-15 to -10,5b: -15 to -10
12009,5b,-15 to -10,5b: -15 to -10
12010,5a,-20 to -15,5a: -20 to -15
12015,6a,-10 to -5,6a: -10 to -5
12016,5b,-15 to -10,5b: -15 to -10
12017,5b,-15 to -10,5b: -15 to -10
12018,5b,-15 to -10,5b: -15 to -10
12019,5a,-20 to -15,5a: -20 to -15
12020,5a,-20 to -15,5a: -20 to -15
12022,5b,-15 to -10,5b: -15 to -10
12023,5b,-15 to -10,5b: -15 to -10
12024,5b,-15 to -10,5b: -15 to -10
12025,5a,-20 to -15,5a: -20 to -15
12027,5a,-20 to -15,5a: -20 to -15
12028,5b,-15 to -10,5b: -15 to -10
12029,5b,-15 to -10,5b: -15 to -10
12031,5b,-15 to -10,5b: -15 to -10
12032,4b,-25 to -20,4b: -25 to -20
12033,5b,-15 to -10,5b: -15 to -10
12035,5b,-15 to -10,5b: -15 to -10
12036,5a,-20 to -15,5a: -20 to -15
12037,5b,-15 to -10,5b: -15 to -10
12040,5a,-20 to -15,5a: -20 to -15
12041,5b,-15 to -10,5b: -15 to -10
12042,5b,-15 to -10,5b: -15 to -10
12043,5b,-15 to -10,5b: -15 to -10
12045,5b,-15 to -10,5b: -15 to -10
12046,5b,-15 to -10,5b: -15 to -10
12047,5b,-15 to -10,5b: -15 to -10
12050,5b,-15 to -10,5b: -15 to -10
12051,5b,-15 to -10,5b: -15 to -10
12052,5b,-15 to -10,5b: -15 to -10
12053,5b,-15 to -10,5b: -15 to -10
12054,5b,-15 to -10,5b: -15 to -10
12055,5b,-15 to -10,5b: -15 to -10
12056,5b,-15 to -10,5b: -15 to -10
12057,5a,-20 to -15,5a: -20 to -15
12058,5b,-15 to -10,5b: -15 to -10
12059,5a,-20 to -15,5a: -20 to -15
12060,5b,-15 to -10,5b: -15 to -10
12061,5b,-15 to -10,5b: -15 to -10
12062,5b,-15 to -10,5b: -15 to -10
